Name,Age,Gender,Breed,Description,Image_URL,Adoption_URL,current_weights,energy_levels,Is_Housebroken,urls
Coconut,a year,Female,Unknown,"Coconut is just an absolute gem. Lovable, cuddly, and sweet—everyone she meets immediately loves her and people will stop me on the street just to say hi. She loves long walks and exploring her neighborhood (sometimes hard to get her to come back inside, but once she’s in she’s turns into a complete couch potato!). Big fan of belly rubs, a nice long bone to chew for hours or a toy to chase around. She behaves very well on walks, with some light pulling which has improved a ton with her new double leash. She also generally does not get distracted by other dogs or noises on walks (but always on the lookout for squirrels!). A good listener, a best friend and a fun loving spirit. I really can’t say enough good things about this girl. Best of all, she loves the outdoors, whether its rolling around in the grass or just people watching in the park, Coconut could spend her entire day outside.

﻿Coconut is approximately 1y 1m 1d old and is fully grown at 70 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/C/CoconutSFCreateDate20250212/i-psbfxb8/0/LF7RbX3FdjSvbpCChQb8gsMB98NLVht4rNpJBXHJP/XL/IMG_5807-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,70.0,3,Yes,https://www.muddypawsrescue.org/adoptable?dog=008412
Ellie,8 years,Female,Unknown,"Ellie is an adorable walking oxymoron! Indoors, she is a couch potato who gives her belly to everyone, showing trust and her cuddly tendencies. Outside, she is an energetic ball of energy, wanting to get everywhere as fast as possible. People are not convinced when I tell them she is not a puppy. Ellie loves everyone she meets, and we are working on her excitement level about the many potential dog besties on every block. Pretty convinced this is the first time in her eight years that she has gone places on a leash, but she’s picking it up quickly. I suspect she would make an excellent hiking partner, considering how much she has turned the city into her personal parkour course. The girl can jump!

﻿Ellie is approximately 8y 3m 3d old and is fully grown at 37 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/E/EllieSFCreateDate20251111/i-msgrDmz/0/MfMJvp8BfDnNZ2hNPxvtvXR6VWdLXsSw7BnJ3TkZS/4K/Untitled%20design%20-%202025-12-05T102310.081-4K.png,https://muddypawsrescue.my.site.com/s/adoption-registration,37.0,3,Yes,https://www.muddypawsrescue.org/adoptable?dog=009251
Calua,9 years,Female,Unknown,"Calua is an incredibly sweet and loving older girl who has a heart full of warmth and affection. She's always ready to offer cuddles and and be your shadow. Despite her age, Calua still has a lively spirit and a playful energy. She is a pro at fetch and nibbling at her stuffed toys. She loves to follow you around, always wanting to be near, and her favorite thing in the world is a good belly rub, which she happily soaks up with pure joy. Her curious nature means she’s always interested in what’s going on around her, eager to explore and learn, but she does it all with a gentle and loving demeanor. Calua’s combination of spunk, sweetness, and open-heartedness makes her a truly special companion who brings comfort and happiness to everyone she meets.

﻿Calua is approximately 9y 1m 6d old and is fully grown at 17 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/20251115-Adoption-Event-Petsmart-Flatiron-Elizabeth-Capreol/i-pd4v7gK/0/LHM4X923sTqMG2SRJWJk8c2VKLFFFQh69dwWB85kV/XL/20251115-3Q9A1694-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,17.0,4,Yes,https://www.muddypawsrescue.org/adoptable?dog=009146
T Rex,4 months,Female,Unknown,"T Rex (Odette as we call her) is such a smart and sweet pup. She gets so excited to see people and eagerly waits for attention.  While she loves affection she is equally content laying on her own. She has learned to play catch with herself. She will bring the ball on the couch and scoot it off with her nose to jump of and go catch it.  With being as smart as she is and also being food motivated training has been easy.  She takes her blankets and piles them on top of the dog bed to have a very comfy cozy spot to nap.  Her happy, sweet and loving personality with melt your heart. She would be a wonderful addition to any family!

﻿T Rex is approximately 0y 3m 23d old and may be 80 to 100 pounds when fully grown. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/T/TRexSFCreateDate20251110/i-jZkGgXf/0/NLjJ8Wpk5Ts3SdBpmkF2rTg6gnSWQ3wVGqcdSjPnk/XL/IMG_0170-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,28.0,3,No,https://www.muddypawsrescue.org/adoptable?dog=009245
Marigold,a year,Female,Unknown,"Marigold is a sweet, gentle, beautiful, quiet, independent pup. She is not very food/treat driven and prefers to be outside. She displays the most joy when seeing other dogs. She walks ok on the leash - occasionally pulls when excited. She loves her plush squeaky toys and will bring them to me to play with her.

﻿Marigold is approximately 1y 0m 25d old and is fully grown at 52 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/2025-11-22-Adoption-Event-Petsma/i-g8NKLbm/0/KxBJRmQsPTVr9S8WxzRL4CWF9dMHprDCprCV4zDMW/X2/IMG_3768-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,52.0,3,No,https://www.muddypawsrescue.org/adoptable?dog=009246
Cesar,8 years,Male,Unknown,"Cesar - lover of tug of war, pro fetch player, and top tier snuggler. In the way cindy lou who made the Grinch's heart grown 5 times bigger, Cesar has that exact same quality. Cesar melts the hearts of everyone he comes across with his desire for pets, snuggles, and kisses. Cesar's nub says it all went it wiggles with excitement when it's time to cuddle up for bedtime or on the couch. His goofy side really begins to shine when it's play time! With his clumsy limbs accidently bumping the ball out of his reach, he still has the drive to chase after it with a smile. I cannot express enough how Cesar will change your life in the best way possible, and everyone will be envious of your furever cuddle buddy.

﻿Cesar is approximately 8y 2m 11d old and is fully grown at 47.3 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Adoption-Events/Regular-Adoption-Events/2025-Events/2025-11-22-Adoption-Event-Petsma/i-NT8pL7V/0/MTDRfSLJ6wv7dZvQRnKLPWjNtg89FDdXp4mH4TV6H/X2/IMG_3745-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,47.3,4,Yes,https://www.muddypawsrescue.org/adoptable?dog=009247
Milk Dud,3 years,Male,Unknown,"Milk Dud aka Dudley is the stubmuffin low rider squishy meatball of your dreams! Poor Dudley was found wandering the cold NYC streets and brought to the city shelter, where he was very fearful, with irritation around his neck and on his legs. Since coming into a foster home, he instantly blossomed into a joyful, goofy, affectionate dumpling. He flops down head first into your lap for belly rubs, grumbles with joy when pet and kissing your face, lifts one ear only when listening carefully, and happily snoozes most of the day away. He is great in his crate, and will sleep for hours when left alone. If you're looking for the ultimate friendly, low energy, indoor-preferred snuggly couch potato this winter, Dudley is your guy!

Dudley arrived to foster recently from his stay at the shelter where he was very fearful, and is working on building his courage walking on the street on leash. He currently does not go on walks on the street, but is comfortable with fosters Brooklyn yard. We are working hard to build his confidence, and he's making progress! He would also do well with a resident dog to show him the ropes.

﻿Milk Dud is approximately 3y 0m 29d old and is fully grown at 42 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/M/MilkDudSFCreateDate20251112/i-LJZGpzp/0/LjhtNpxxmJttXfq8x79jGKQmrfZNt9dWb4xtQW73G/XL/74F608D2-96E1-412B-8016-F40FB734A92D_1_105_c-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,42.0,4,Unsure,https://www.muddypawsrescue.org/adoptable?dog=009271
Harley,8 years,Male,Unknown,"Meet Harley — a sweet, cuddly, affectionate boy who loves being close to his person. He’ll lean into you for snuggles and quiet time and has so much love to give once he feels safe.

He’s a sensitive guy who can be unsure in new situations, so he’ll do best with someone patient and calm who can help him feel safe and supported. With reassurance and consistency, he becomes noticeably more relaxed, trusting, and connected.

If you’re someone who values a gentle, loyal companion and understands the power of patience, Harley will be the perfect match ❤️

﻿Harley is approximately 8y 3m 2d old and is fully grown at 18 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/H/HarleySFCreateDate20251002/i-dqVXgxs/0/LSH4PTXZq5XVKMKdhSMqLGwRZqmvMj526zXMgrhTt/L/IMG_5851-L.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,18.0,4,Unsure,https://www.muddypawsrescue.org/adoptable?dog=009125
Yoru,7 years,Male,Unknown,"Hi, I’m Yoru, and I’m a #BoroughBred Gentleman! I was found as a stray shortly before Thanksgiving, so not much is known about my past but that hasn’t stopped me from being optimistic about my future!
My foster mom thinks I’m the cutest, sweetest guy who loves to go on walks, meal times, naps and cuddles. My two fur siblings - a small dog and cage-free bunny - don’t mind me one bit either. I’m about 7yrs old and weigh 47lbs, so I’m perfect size for a road trip. Did I mention I love car rides?

﻿Yoru is approximately 7y 0m 7d old and is fully grown at 47 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/Y/YoruSFCreateDate20251201/i-QDL7TmK/0/NQXJDwNcS7P7RLb9Gq6FwCrdKsv5LtzhjTnXZSCjs/X2/IMG_2740-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,47.0,3,Yes,https://www.muddypawsrescue.org/adoptable?dog=009298
Bigsby,8 years,Male,Unknown,"Bigsby is a sweet, goofy boy with a bit of spunk and the perfect amount of energy. This handsome gentleman might be a little shy at first, but not for long, he warms up quickly and he’ll be your most loyal shadow and favorite cuddle buddy! He’s the ultimate lap dog happy to curl up for a nap, lounge on the couch, or keep you company while you work from home. 

Bigsby has the funniest little bursts of playful energy that are impossible not to smile at. He can be a bit of a goofball in the most endearing way! His goofy personality is paired with a clever mind, Bigsby is very smart and loves any kind of food based enrichment. Puzzle feeders, licky mats, kongs - he’s a huge fan of them all and will solve any puzzle in a matter of seconds! He’s got just the right amount of energy to keep things fun, then he’s right back to chillin'. 

When it’s time to get outside, Bigsby enjoys his walks and takes them at an easy pace, appreciating all the sights and smells. He never pulls on leash and walks right by your side the entire time. And when it’s time for treats, Bigsby is always excited for snack time! He LOVES food. He takes his role as “floor-crumb detector” very seriously.

If you’re looking for a wonderful companion who’s equal parts cozy cuddle bug, lighthearted goofball, and smart little sidekick, Bigsby is your guy. He’s ready to find his forever home and shower his new family with love, laughs, and plenty of snuggles!

﻿Bigsby is approximately 8y 1m 2d old and is fully grown at 15 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/B/NikkiBoomySFCreateDate20251106/i-VPZMRbF/0/KrJhqLPPJgGmkfBKj8xfB5LhNMKM23hXBRGfrZ9G9/X2/_MPH9630-X2.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,15.0,4,No,https://www.muddypawsrescue.org/adoptable?dog=009229
Brady,a year,Male,Unknown,"Brady is an absolute angel of a dog. He is so sweet and gentle in the house and loves to be around people. In addition to being an absolute mush, he is also STUNNINGLY HANDSOME and is taking to training well!

﻿Brady is approximately 1y 0m 26d old and is fully grown at 80 pounds. They are microchipped and up to date on all age-appropriate medical care. Their breed is unknown as we have not had a DNA test done.

Although our dogs are listed as unknown breed, buildings with specific dog restrictions typically enforce their rules based on what breeds a dog appears to resemble. It's always important to keep that in mind and know your building's policies before adopting a dog.

This dog is available for adoption through Muddy Paws Rescue. If you're interested in adopting, the first thing you should do is begin the registration process at www.muddypawsrescue.org. If you are already a registered adopter with Muddy Paws Rescue, please email us at adoptionmeetings@muddypawsrescue.org.",https://photos.smugmug.com/Individual-Dog-Assets/B/BradySFCreateDate20251112/i-z5wmW8j/0/KjGSw8ff7SSf8FFFTLsrTtNX9C5KdJfmKJ6CV7bvc/XL/IMG_0375-XL.jpg,https://muddypawsrescue.my.site.com/s/adoption-registration,80.0,3,Yes,https://www.muddypawsrescue.org/adoptable?dog=009264
