name,breed,sex,image,adoption_url,description,age_group,source_website,ishousebroken,current_weight,size,energy_level,is_good_with_kids,is_good_with_dogs,is_good_with_cats
Tyler,Chihuahua,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5493405/IMG_9124.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2484398&premium=true,"Name: Tyler Age: 15 years old Weight: 16 lbs Breed: Chihuahua Mix ⸻ Senior Chihuahua Tyler, who we pulled from ACC in July, is still looking for his forever home! Tyler loves to spend time outside and would be delighted to have access to a garden for sunbathing. Tyler is happy to be around other dogs as long as they are a similar energy level to him - buddy’s who like to nap! He is not looking for a playmate and prefers to be left to his own devices. Tyler loves car rides but is also quite happy to stay at home and has no seperation anxiety. Similarly, Tyler will be ok around cats who leave him alone, but will bark if they come too close. Tyler enjoys spending time with his human family, he is the most adorable compainion, but he can get nervous around strangers. Due to his age, Tyler would do best in an adult only home or with older children. Tyler has the early signs of canine dementia, so he needs someone willing to keep an eye on him if he starts to become confused or anxious. He needs someone who understands it will take him a while to understand new situations and will be patient when he needs time to adjust. Please consider opening your heart and home to give this sweetheart his perfect retirement home ❤️ If you think you can give Tyler all the love he deserves and would like to meet him, please go to Petstablished.com or follow the link below to complete an application to adopt. All of our animals are in foster homes. For the sake of our animals and foster families, you must have an approved application with references before you can meet them. http://shelterchic.org/adopt/ In order to receive a speedy response to any inquiry, please email us directly at Info@ShelterChic.org or check out our website ShelterChic.org where you will find the answer to most questions about our adoption process and fees. Please remember that our organization is run entirely by volunteers in our spare time, and emails are responded to in order of importance. If you do not hear from us and cannot find the information needed on our website or in our animals profile, please reach out to us again. For more images and tales of our pets in foster-care check out our social media pages @shelterchic and @shelterchicanimals",Senior,https://www.wagtopia.com/search/pet?id=2484398,True,16.0,Small,Unknown,Not Sure,True,True
Jimmy,Boxer/American Bulldog,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5568161/IMG_4482.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2396060&premium=true,"“Meet King James, a charming and affectionate five-year-old pup who’s truly as majestic as his name suggests. This sweet, handsome boy was on the list to be euthanized and we were fortunate enough to save him minutes before it was too late . Surrendered through no fault of his own, King Jimmy was deeply loved by his previous family, who made the difficult decision to rehome him after moving in to care for elderly parents. This loyal boy has known nothing but love and kindness and is now hoping to find his next forever home—one where he can once again be someone’s best friend, hiking buddy, and devoted shadow. King aka Jimmy is the perfect blend of playful and chill. He's housebroken, crate trained, and knows all his basic commands—including “sit,” “stay,” “wait,” and “leave it.” He’s got great leash manners, walking at a calm, easy pace with only the occasional tug when something especially exciting (like a stray cat!) crosses his path. He’s easily redirected with a gentle voice or treat and always eager to please. Speaking of treats, he loves them :) Jimmy’s previous owner stated that he was attacked by two dogs before coming into the shelter (see his adorably wonky ear). He’s been getting along great with the dogs he’s met in foster, but if you have another dog a meet and greet is required to make sure it’s a good match. Jimmy loves to play with his toys and would be great with older kids. He would make a wonderful addition to a lucky family To see Jimmy's full profile with more pictures, please visit wagtopia.com",Adult,https://www.wagtopia.com/search/pet?id=2396060,True,53.0,Unknown,Unknown,True,True,True
Rocky,Terriers (Medium),Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5131004/IMG_7410.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2400107&premium=true,"Meet Rocky, a resilient and affectionate 4.5-year-old pup looking for a fresh start after a tough few months of transitions. Originally rehomed by his first owner, Rocky was then surrendered by his second family after just three months, through no fault of his own. Despite the instability in his life, Rocky remains a sweet, wiggly boy who greets everyone with a wagging tail and a heart full of love. Rocky is the definition of a social butterfly—he's incredibly people-friendly, happily nuzzling into volunteers and seeking out affection wherever he goes. He allows all-over handling, even during medical care, and has proven himself to be both gentle and trusting as he heals from some minor wounds. Though he can be a little snatchy with treats, he's food-motivated and easy to redirect. On walks, Rocky pulls only slightly and enjoys sniffing and exploring. He loves being outside and is eager to get out of his kennel, though he sometimes needs a little coaxing to go back in. In playgroups, Rocky has shown some curiosity about other dogs but tends to be more of an observer, keeping his distance and sniffing around the yard rather than engaging in direct play. He’s also lived with cats in his previous home and reportedly got along well with them. Whether you’re looking for a loyal companion to share quiet walks, cuddle sessions, or just some relaxed company, Rocky could be your guy. Complete an application for adoption today.",Adult,https://www.wagtopia.com/search/pet?id=2400107,True,40.0,Unknown,Unknown,True,True,True
Brandi,Labrador Retriever/American Staffordshire Terrier,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5187041/IMG_3146.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2402927&premium=true,"Pretty girl Brandy, 50 lbs, 2-5 years old is a total lover and she is happiest just to be in your company. She has a lot of puppy energy and is looking for a family interested in playing, training and spending lots of time with her. She loves people and greets everyone with her whole body happy wiggle. Before coming to our rescue, Brandi spent 5 months at the city shelter after being found as a stray. Brandi adjusted well in her foster home, she is house broken and in good health apart from some seasonal allergies. Brandi does sometimes get nervous around loud, unexpected noises and would be happier living in a quieter home. She has done well meeting other dogs and cats but since her previous living situation is unknown to us, she will need to meet any other pets in your home. She has been great with all the people she has met but might be too playful for very small children. If you think you can give Brandi all the love she deserves and would like to meet her, please go to Petstablished.com or follow the link below to complete an application to adopt. All of our animals are in foster homes. For the sake of our animals and foster families, you must have an approved application with references before you can meet them. http://shelterchic.org/adopt/ In order to receive a speedy response to any inquiry, please email us directly at Info@ShelterChic.org or check out our website ShelterChic.org where you will find the answer to most questions about our adoption process and fees. Please remember that our organization is run entirely by volunteers in our spare time, and emails are responded to in order of importance. If you do not hear from us and cannot find the information needed on our website or in our animals profile, please reach out to us again. For more images and tales of our pets in foster-care check out our social media pages @shelterchic and @shelterchicanimals",Adult,https://www.wagtopia.com/search/pet?id=2402927,True,50.0,Unknown,Unknown,True,True,True
Charlie,Pointer/Labrador Retriever,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5310953/IMG_2963.HEIC,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2352544&premium=true,"Charlie - 10 months & 50lbs (as of 8/12/25) Pointer Mix Neutered Expected to be about 50lbs Full Grown Our Team Says: Charlie needs a home in the burbs. He REALLY loves other dogs and would do really well in a home with another pup :) This puppy is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application at socialteesnyc.org. Thier Foster Parent Says: ""Charlie is an incredibly sweet, loving, funny guy. He loves to play with toys and other dogs, and, like most young dogs his age, likes to pass out after he's exhausted himself from playtime. He also loves to snuggle when he's tired, resting his head on your shoulder while he nestles. He is VERY scared of loud or new noises so he does need help shifting energy when he gets startled like that. Sometimes he barks and does a low-level growl when he hears those unfamiliar noises but he is never aggressive towards others. The only time he really barks is if someone is approaching the house to alert us but then quickly goes to hide if someone new comes inside. He can get a little scared and hide but, as he gets more and more acclimated, he comes out to explore his surroundings. It's very important to instill in him that he is safe and cared for at all times. Once he has decided you are a safe person, he will be your shadow! He's very playful and likes to jump up and sometimes will accidentally scratch but it's never on purpose-he just loves to have fun! He gets up around 7:00 am to go outside and have breakfast and then sometimes will even go back to sleep. Then he likes to play with other dogs (we have 2 others in the house) before taking a nap. We go for walks with Charlie to improve his leash etiquette-he's VERY eager to walk but is still learning how to walk better on the leash! Then we'll have dinner around 6:00 pm with him, he'll do some more romping, and he'll go to bed with us. He is very good about bedtime routine. Once the lights are off he goes to sleep and loves to cuddle up at the end of the bed. Overall, Charlie has been a real joy to have and to take care of. Anyone would be lucky to have him!"" Level of dog ownership experience needed: INTERMEDIATE: As an adult, this dog will need significant structure and plenty of daily exercise, training, and mental stimulation – 90 consecutive minutes of movement in the morning plus potty break walks and brain games throughout the day. The adopter must have relevant primary care experience with a similar breed, temperament, and/or energy level. (Primary care experience includes ownership, fostering, or dog sitting as an adult, not a dog you grew up with.) Relevant puppy care experience is a huge plus, but bare minimum the adopter must have TONS of time and patience. Raising a puppy can be a lot of fun, but it’s also tremendous work. Puppies’ personalities and exercise/stimulation requirements change dramatically between now and when they’re a year old as their bodies and brains develop, so an active lifestyle and the ability to adapt to a pup’s evolving needs are a must. We strongly urge professional dog training with a rewards based trainer from the get go. Adults only or kids ages 8 and up – all puppies go through a mouthy, rambunctious phase and often accidentally hurt children when playing. PLEASE DO YOUR OWN BREED RESEARCH to make sure you have a better understanding of the kind of temperament and exercise requirements this dog may have as an adult. Energy level MEDIUM: Very young puppies sleep and nap a lot, but their energy level skyrockets when they become teens (4 months to around a year). As an adult, this dog will need significant structure and plenty of daily exercise, training, and mental stimulation – 90 consecutive minutes of movement in the morning plus potty break walks and brain games throughout the day at a minimum. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) Cuddle Bug Level-high Comfy with strangers?- Fine with meeting new people but not particularly interested, kind of shy in busy social situations like a gathering or a packed day in the park. Once he is inside he will shower them with kisses. He just needs to be in his safe space. Good with Children? (ALWAYS requires supervision)- Yes for 12 and up -- may be a little energetic or a little skittish, best with older children that can be extra gentle or that are big enough not to get accidentally knocked down Good with Other Dogs?- Yes -- Good with all other dogs (sizes, breeds, etc.) as far as we know and enjoys socializing with other canines Mouthy Behavior?- Is either still in the puppy stage or was never trained to not be mouthy. Wants to put everything in their mouth. Tries to chew on your hands when playing or needs attention, grabs the leash with its mouth, loves to gnaw on your personal belongings. He is easily corrected with a toy. Leash Manners?- Getting the Hang of it – Probably hasn’t been on a leash much in its life but he is figuring it out. Might be a mild puller but responds to correction. Okay in the city? Sort of -- Spooked easily by loud noises and bustling areas but walks pretty well and probably just needs more time to adjust (may be a puppy or a brand new rescue) Jumping on People to Say Hi?- Medium – Jumps up only on people the dog knows when really excited. Stops with correction. Separation Anxiety? -Low – Completely fine being left home alone. Doesn’t cry or do anything shitty when you leave the apartment or house. Crate training? -Yep/mostly – Seems comfortable in the crate, may whine a little at first but settles pretty quickly. We use the crate when we leave the pup alone and/or at night Medical status: Healthy as far as we know. Up to date on their DHPP and Bordetella vaccines (for dogs under 4 months old, adopters will need to finish the DHPP vaccine series and administer the Rabies vaccine at 16 weeks of age), spayed/neutered; microchipped; treated with dewormer upon How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee or St. Thomas. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Adult,https://www.wagtopia.com/search/pet?id=2352544,True,,Medium,High,True,True,Not Sure
Steve,Terriers (Small)/Beagle,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5516544/8CB128D6-3DB7-47DF-8F00-637391FFEFB3_1_105_c.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2561314&premium=true,"Steve - 1 year, 25lbs, BeagleTerrier Mix, Neutered - low rider :) This dog is eligible to join our foster-to-adopt program. Please email fostertoadopt@socialteesnyc.org with the animal’s name in the subject line if you are interested! Want to straight up adopt? Submit an adoption application a t socialteesnyc.org Their Foster Parent Says: "" Steve loves people and dogs and chasing after squirrels and birds. Every time we pass a person or a dog, he is always wagging his tail and pulling his leash to greet them. As soon as someone gives him affection, he literally slides down and rolls over on his back for belly rubs. He is such a trusting and sweet dog. In the morning, he waits patiently for me in the bathroom while I get ready and will sit or lay down on my bath mat (since I have towels everywhere on the floor to protect my white carpets, he thinks any towel is for him) then we go for a 45 minute walk, come home and he eats his breakfast, depending on how tired he is from his walk, he will typically play on his own for an hour before taking a 4 hour nap. We then go for a potty break, play a little more and then another 45 minute walk in the evening followed by dinner, more play time and a final night potty. He is definitely teething right now and is a little mouthy which is understandable for a pup his age. He loves playing fetch, gnawing on his toys and is very food motivated. As a typical lab, he scarfs down his food in 5 minutes even with a slow feeder. He needs leash training as he pulls very hard during our walks when he sees a bird, squirrel or dog which is often as you can imagine in NYC. He is a little afraid of bikes, buses and leaf blowers and will pull the leash to move away from them and gets down low. However he is pretty tolerable of the city life and will adjust quickly. He’s very comfortable in elevators, with stairs and riding the subway which is impressive coming from South Carolina. The best part about this pup, is he practically came potty trained and crate trained and has had no accidents thus far! The best pup of the 7 I’ve fostered thus far."" Level of dog ownership experience needed: BEGINNER: This means we predict this dog will be low on the challenge scale due to its breed/age combo. Potentially a good fit for someone who has relevant dog care experience (fostering, dog sitting) and is looking to adopt their first pup. Energy level MEDIUM: Needs a daily 60-90 minute walk or window of quick paced exercise (minimum) in addition to potty break strolls (10-30 min each). Also needs significant socializing opportunities outside the home and mental stimulation at home like tricks training practice, chew items, and puzzle toys. (This is regardless of dog size – many small breeds were designed for lots of activity and will exhibit unwanted behavior when they’re understimulated.) City pup Seems unfazed by the sights and sounds, may as well have been born here. POTTY TRAINING Yes – Few or no accidents COMFORT LEVEL WITH STRANGERS Social butterfly – Wants to be friends with everyone who walks by, loves anyone who will stop to say hello. BEHAVIOR WITH CHILDREN (always requires adult supervision) Maybe for age 12 and up – Is either big and energetic (okay with kids big enough not to get knocked down) or a little skittish (could be comfortable with older children that can be extra gentle) SOCIAL BEHAVIOR WITH OTHER DOGS Yes – Good with most other dogs (sizes, breeds, etc.) as far as we know and enjoys socializing with other canines RESPECTFUL BEHAVIOR WITH OTHER ANIMALS (cats, small pets, etc. Not sure – Wants to chase squirrels and birds so may not be a good match for a home with cats, rabbits, etc. MOUTHY BEHAVIOR Needs training – Is either still in the puppy stage or was never trained. Tries to put their mouth on your hands when playing or needs attention, grabs leash, chews on your personal belongings SEPARATION ANXIETY ( Adjusting – Might cry for a few minutes when you first leave the house but settles pretty quickly and has no problem being left alone otherwise. LEASH MANNERS WTF is a leash – Pulls hard. Zig zags like crazy. Has no idea how to walk on a leash or doesn’t have outside privileges yet (too young) CUDDLE BUG LEVEL Medium – Likes to snuggle when he's in the mood but often stays in his own bed JUMPING ON PEOPLE TO SAY HELLO Needs training – Very excited to greet everyone and has no idea how to do so politely. Jumps up on most strangers or other dogs that go by. In puppy phase or wasn’t trained as a young adult. CRATE TRAINING Yep/mostly – Seems comfortable in the crate, may whine a little at first but settles pretty quickly. We use the crate when we leave the pup alone and/or at night. Medical status Healthy as far as we know. Up to date on their DHPP, Bordetella, and Rabies vaccines; heartworm tested if coming from the South or Puerto Rico ; spayed/neutered; microchipped; treated with dewormer upon intake How this dog ended up with Social Tees: Most of our dogs come via partner groups who help us save them from shelters where they are at risk of euthanasia in Tennessee, Los Angeles and Puerto Rico. There are very few spay/neuter resources there and many more animals in those areas than there are people to adopt them. Rescue groups like ours bring them to the northeast where the desire for pets like these allows us to save their lives. PLEASE NOTE: We cannot guarantee any breed mix, exact age, or full grown size (if the dog is under a year old). We do our best with very educated guesses though! This animal is not at the Social Tees office, all are in foster homes. LEARN MORE ABOUT US: socialteesnyc.org and Instagram @socialteesnyc",Adult,https://www.wagtopia.com/search/pet?id=2561314,True,,Small,High,True,True,True
Dolly Pawton,Mixed Breed,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5459566/50c3f2a57b98e91be3a313614168a7d7.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2485009&premium=true,"Straight from the big stage (well… the NYC ACC), Dolly Pawton is ready to sing her way right into your heart! We pulled this sweet girl after a medical ailment put her life at risk, and she’s been nothing but joy ever since. Dolly is adorable, dog-friendly, and an absolute people-lover. Whether she’s wagging her tail at new friends or curling up for cuddle time, she’s happiest when surrounded by love. Now she’s searching for her forever home; one where she can be cherished as the star she was always meant to be. All dogs will be altered, microchipped, and receive age-appropriate vaccines prior to adoption. Please note that the listed location for this dog may not be accurate due to technical limitations of this database and we have transportation options available within 6 hours of NYC (so don't let location hold you back)! Interested in fostering or adopting? Need more info on this dog? The first step in the process is filling out an application on our website. Adoption application: www.nycsecondchancerescue.org/general-application/ Foster application: https://www.nycsecondchancerescue.org/dog-foster-application/ Adoption process & fees: www.nycsecondchancerescue.org/process/ For a full list of our available dogs and current adoption promotions, visit: https://nycsecondchancerescue.org/adoptable-dogs/",Adult,https://www.wagtopia.com/search/pet?id=2485009,False,44.0,Medium,Unknown,Not Sure,Not Sure,Not Sure
Whitney ,Bulldog/Mixed Breed,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5337337/52680BE8-449E-46CF-92B5-00843BDD6113.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2363226&premium=true,"**Meet Whitney: The Sweet and Gentle Soul** Introducing Whitney, the sweet and delicate sister of Wilbur and Wesley, who is ready to find her forever home! With her stunning blue eyes that shine with warmth and a gentle spirit, Whitney is a special pup who brings a touch of grace wherever she goes. Expected to grow to around 40 pounds, she is the perfect medium-sized companion for a loving family. Whitney’s journey began alongside her brothers, born to their feral mother, Ferraro. After facing the uncertainty of life in a South Carolina shelter, she was rescued along with her siblings just before a tragic fate could befall them. Though she may be a bit nervous in new situations, Whitney’s sweet nature allows her to warm up quickly to those who show her kindness and patience. Whitney’s personality truly shines when she is around her brothers, who help bring out her playful side and encourage her to explore her surroundings. We believe that Whitney would thrive best in a home with another dog, as having a furry companion to guide her would help her build confidence and trust in her humans. This affectionate girl loves to snuggle and relax, and she hopes to find a family that will appreciate her gentle spirit and provide her with the love and support she needs to flourish. If you’re looking for a sweet and patient companion who will bring joy and comfort to your life, Whitney is the perfect pup for you!",Puppy,https://www.wagtopia.com/search/pet?id=2363226,False,,Medium,Unknown,True,True,True
Chiclet ,American Staffordshire Terrier,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5509292/IMG_3351.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2570504&premium=true,"This gentle, loving girl is deaf, and because of that, she keeps being overlooked. She doesn’t know she’s “different.” She only knows she wants to be loved. ✨ Deaf dogs are just as loyal, intelligent, and affectionate as any other. They feel joy, fear, love — and heartbreak — just the same. Chiclet is sweet, people-friendly, and playful. She’s been waiting patiently for someone to see her heart instead of her hearing loss.",Puppy,https://www.wagtopia.com/search/pet?id=2570504,True,38.0,Medium,Unknown,True,True,Not Sure
Pocahontas ,American Staffordshire Terrier/Bulldog,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5517303/IMG_9204.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2573954&premium=true,"✨ About Pocahontas: Sweet little Pocahontas is the definition of a happy-go-lucky pup! At just 7 months old, she’s already showing what a gentle, loving soul she is. This adorable Staffordshire Bulldog mix has a short, stocky build and a heart that’s absolutely overflowing with love. She adores playtime with other dogs, is kind and respectful with cats, and absolutely lights up around kids. Whether she’s zooming around the yard, snuggling up for movie night, or following you from room to room with her tail wagging, Pocahontas just wants to be part of the family. 💖 Why You’ll Love Her: Perfect mix of playful and cuddly Social and friendly with everyone she meets Learning her manners quickly — smart and eager to please A small, sturdy girl who’s easy to love and even easier to fall for 🏡 Ideal Home: Pocahontas would thrive in a home with other friendly pets or children to play with. She’s young, adaptable, and ready to grow up in a home where she’ll be loved forever.",Puppy,https://www.wagtopia.com/search/pet?id=2573954,False,,Medium,Unknown,True,True,True
Beef Patty ,Mixed Breed,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5563328/IMG_5921.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2575487&premium=true,"🐾 Meet Beef Patty! 🍔💛 Only 6 weeks old and already full of charm, Beef Patty is a tiny Retriever mix with a heart of gold. Found as a stray in Texas, this brave little boy has quickly captured everyone’s hearts with his gentle spirit and curious eyes. He’s the sweetest little observer — happy to sit and quietly watch everything you do, learning about the world around him. When it’s playtime, he loves to explore, but he’s just as content cuddling up beside you and enjoying your company. Beef Patty may be small, but his personality is big and his love is endless. He’ll be ready to leave our rescue around 8–9 weeks old, once he’s completed his vetting and is ready for his forever home. 💛 Bring home this brave, loving little boy and watch him blossom by your side.",Puppy,https://www.wagtopia.com/search/pet?id=2575487,False,,Small,Unknown,True,True,True
Lottie ,Terriers (Small)/Terriers (Small),Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5551116/IMG_5398.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2591562&premium=true,"Arriving December 6th Estimated Adult Weight: Under 25 lbs Lottie may be small, but she’s already melting hearts! At just 8 weeks old and only 3 pounds, she is the tiniest of her litter. We expect her to stay under 25 lbs full grown, making her the perfect little companion for someone looking for a small dog with a big personality! She is sweet, gentle, and still learning about the world. Lottie loves being held and would do amazing in a calm, loving home where she can continue to build confidence. She’ll be ready to begin her journey into a forever home as soon as she arrives! ✨ Lottie’s Ideal Home: ✔️ Loving & gentle environment ✔️ Could do well with respectful children & friendly animals ✔️ Apartment/lower-energy homes welcome! ✔️ Someone who loves cuddles and companionship This tiny girl deserves a safe place to grow. She may be little — but the love she’ll give is endless 💖",Puppy,https://www.wagtopia.com/search/pet?id=2591562,False,,Small,Unknown,True,True,True
Cullen ,Labrador Retriever,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5520786/IMG_4029.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2575486&premium=true,"🐾 Meet Cullen! ☀️ This adorable 7-week-old Retriever mix weighs just 5.8 lbs, but her personality is mighty! Cullen was found as a stray in Texas and has quickly shown what a curious, joyful little adventurer she is. She absolutely loves to explore, chase her toys, and play with her furry friends. Whether it’s romping around with other dogs, gently sniffing cats, or cuddling up with kids, Cullen is happiest when she’s surrounded by love and fun. She’ll be ready to leave our rescue around 8–9 weeks old, once she’s completed her vetting and is all set to start her forever adventure. 💛 If you’re looking for a playful, affectionate pup to bring endless smiles to your home, Cullen is your girl!",Puppy,https://www.wagtopia.com/search/pet?id=2575486,False,5.8,Small,Unknown,True,True,True
Rick ,Labrador Retriever/Mixed Breed,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5482588/IMG_2700.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2511135&premium=true,"✨ Meet Rick ✨ This 3.5-month-old lab mix is the total package — sweet, playful, and full of love 🐾💛 Rick does great with other animals (including cats 🐱) and absolutely adores children. He’s calm on car rides, walks wonderfully on a leash, and is ready to bring joy into any home 🏡. Unlike his brother Hershel, Rick doesn’t have a deformed eye — but both share the same gentle spirit and happy-go-lucky personality. Rick is just waiting for his forever family to see how special he is! 💙 📍 Currently in foster care and ready for adoption!",Puppy,https://www.wagtopia.com/search/pet?id=2511135,False,20.0,Small,Unknown,True,True,True
Buddy,Cocker Spaniel,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5174396/IMG_2809.webp,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2349042&premium=true,"Meet Sweet Almost 3-Year-Old Spaniel!** Introducing our delightful almost 3-year-old spaniel, a loving companion who brings joy to everyone he meets! Despite some physical challenges, including a narrow space between the disks in his back and tenderness in his hips, he never lets that get in the way of his playful spirit. With the help of carprofen, he stays comfortable and ready to explore his surroundings. Our boy has a playful personality and is great with cats, dogs, and kids alike, making him the perfect addition to any family. His foster has found creative solutions to support him, like a diaper and belly band, which allow him to thrive in his loving environment. While he may sometimes have accidents while walking and gets a little too excited, his sweet demeanor and affectionate nature easily win over hearts. He is ready to find his forever home, where he can share his love and receive the care he deserves. Will you be the one to give him a second chance? We need a foster by commitment by tonight for Saturday/sunday !***",Adult,https://www.wagtopia.com/search/pet?id=2349042,True,,Medium,Unknown,True,True,True
Asher ,Mixed Breed,Male,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5499134/d1eecf5f6a42f49f8c428a126c54acdd.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2566203&premium=true,"Asher is the sweetest big boy with a shy heart and a goofy spirit waiting to shine! Once he feels safe, his tail starts wagging, his personality blossoms — and he’ll melt right into your lap (even though he doesn’t quite realize his size 😂). 🌟 What Makes Asher Special: • Shy at first, but bonds beautifully with gentle people • Good with cats and other dogs — respectful & friendly • Enjoys walks in the city and exploring new places • Food-motivated — great for continued training • Still growing… those big paws are going to be impressive! • Might borrow his sister’s snacks if you’re not watching 👀💛 🏡 Home Skills: • Sleeps quietly in his crate from 10 PM – 7/8 AM • Only a few overnight accidents — learning quickly • Working on potty training + uses puppy pads • Gets along well with dogs of all sizes & personalities Asher would thrive in a patient, loving home that can help him build confidence and continue his training. He’s a gentle, smushy, city-ready puppy who just wants to feel safe and loved — and he’ll give it right back tenfold. 💛",Puppy,https://www.wagtopia.com/search/pet?id=2566203,False,30.0,Medium,Unknown,True,True,True
Princess,Pit Bull Terrier,Female,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5511157/IMG_3559.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2571500&premium=true,"💗 Meet Princess – A Heart Too Big for the Pain She’s Known 💗 Princess’s story is one that truly touches the soul. This beautiful 6-month-old Pitbull mix was rescued back in August by a kind man who adored her deeply. He found her when she needed someone most — scared, unwanted, and alone — and he gave her safety, love, and a name fit for her sweet spirit: Princess. Tragically, her rescuer passed away not long after saving her. 💔 Through heartbreak and loss, one thing remained clear — Princess meant the world to him, and he wanted her to have a happy life. After his passing, a compassionate neighbor stepped in to make sure Princess wouldn’t end up back on the streets. She’s been caring for her and reaching out for help to find the forever home her rescuer always dreamed of for her. Princess is everything her name promises — gentle, loyal, affectionate, and eager to please. She’s still very young, learning the world around her, and deserves a patient family who will continue to guide her with love. She’s dog-friendly with the right introductions and adores human companionship — all she wants is to belong.",Adult,https://www.wagtopia.com/search/pet?id=2571500,False,,Unknown,Unknown,Not Sure,Not Sure,Not Sure
Jasmine ,American Staffordshire Terrier,,https://s3.us-east-1.amazonaws.com/petstablished-app-beta/uploads/image/image/5517676/att.fnwIbdugfUuBN7tInaVjgnWOzJGi7PDly65toRGpcDw.jpeg,https://petstablished.com/public/search/redirect?application_type=adoption&pet_id=2574075&premium=true,"🌸 MEET JASMINE — ADOPTABLE & AMAZING! 🌸 Great with livestock • cats • dogs • ADORES children! This sweet girl has made incredible progress in just one week and she’s READY to find her forever family! 🏡💕 Here’s what her foster says about her 👇 ✨ Walks nicely on leash — learning not to pull and doing GREAT ✨ Loves toys and playtime with her foster dog friend, Goose! ✨ Gets excited and does little puppy nibbles, but redirects easily to toys ✨ Sleeps through the entire night — NO accidents in the house! ✨ Huge cuddle bug who melts right into you 🥹🤍 ✨ Enjoys car rides and gazing out the window 🚗 ✨ GOOD WITH: 🐶 Other dogs 🐱 Cats 🐄 Livestock 👧 Children! She is the total package — playful, smart, loving, and eager to continue learning! All she needs now is her forever family to love her. Could that be you? 🫶 📩 Apply to adopt Jasmine: www.brixiesrescueinc.net 📍 Located in the NYC Metro Area (NY/NJ/CT/PA) ❤️ Please share to help Jasmine find her home! ❤️",Adult,https://www.wagtopia.com/search/pet?id=2574075,True,40.0,Medium,Unknown,True,True,True
